iter	Passed	Remaining
0	210	20827
1	258	12667
2	308	9976
3	357	8571
4	405	7698
5	452	7094
6	495	6586
7	545	6277
8	592	5991
9	633	5704
10	681	5516
11	727	5332
12	769	5151
13	811	4986
14	852	4831
15	891	4680
16	935	4565
17	980	4466
18	1025	4373
19	1064	4256
20	1095	4122
21	1138	4037
22	1179	3947
23	1221	3866
24	1257	3773
25	1290	3674
26	1325	3582
27	1369	3521
28	1407	3446
29	1453	3392
30	1504	3347
31	1541	3276
32	1576	3200
33	1610	3126
34	1650	3064
35	1692	3008
36	1729	2944
37	1768	2886
38	1812	2834
39	1847	2771
40	1901	2736
41	1941	2680
42	1980	2624
43	2026	2579
44	2063	2522
45	2100	2465
46	2146	2420
47	2182	2364
48	2221	2312
49	2268	2268
50	2310	2219
51	2357	2176
52	2402	2130
53	2437	2076
54	2473	2023
55	2517	1978
56	2565	1935
57	2602	1884
58	2657	1847
59	2696	1797
60	2733	1747
61	2772	1699
62	2811	1651
63	2851	1603
64	2886	1554
65	2933	1511
66	2968	1462
67	3005	1414
68	3040	1366
69	3078	1319
70	3112	1271
71	3150	1225
72	3187	1178
73	3224	1132
74	3270	1090
75	3306	1044
76	3343	998
77	3383	954
78	3417	908
79	3456	864
80	3491	818
81	3525	773
82	3562	729
83	3601	686
84	3636	641
85	3670	597
86	3704	553
87	3742	510
88	3781	467
89	3821	424
90	3865	382
91	3903	339
92	3945	296
93	3988	254
94	4031	212
95	4072	169
96	4108	127
97	4148	84
98	4188	42
99	4223	0
